puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
32i6SwOjBPOQ-P9DjehULSOuk6f6VA4AExWKyhD-ZwoIF0tKZE7puCINd0z54vR3f_jzkin-ORDyig,DIAMOND,high,0,184,60,4.18,2,3,0.5054,-0.0648,4.566,28.82,9,23,0.217,0.984,UTILITY,0.098,955,0.0749,0.1793,0.087,0.5888,0.1142,0.06,27.217,0.0272,0.0652,29.17
35q27-N2oZspTuttYujFXqfaAeS9ktxx_efvLygvYzgWFWQJcvn4RW2bfttAnTBIEhtyem5oRAzsvQ,GOLD,mid,0,42,6,1.91,-18,8,0.2857,0.1111,1.614,31.35,8,25,0.119,0.381,BOTTOM,0.071,395,0.1404,0.4286,0.3095,0.3901,0.1882,0.571,10.0,0.0476,0.119,30.88
36mxs5kGISn2QsRDYHDnd91ujOMgCvqnpQbYCjeUV73_ASWgf_-yzZtUQ7s9pl0yeE5SCH3EYJ1QLQ,GOLD,mid,0,95,95,5.28,-9,1,0.4526,0.0,2.959,29.94,4,20,0.337,0.558,JUNGLE,0.0,134,0.1178,0.2421,0.1368,0.4953,0.2242,0.537,7.537,0.0316,0.1789,29.38
3FqJBT7GbCQp6jggLdVe2_FPi0xuupyHiCa5OjHdo9-XXxOV_E7FaUJZb86LPNS9t4Rd6p_SFEaTfQ,CHALLENGER,high,0,202,200,7.48,22,3,0.5545,0.5572,2.552,26.92,5,31,0.48,0.757,BOTTOM,0.025,716,0.1173,0.5,0.2426,0.4444,0.2341,1.02,5.411,0.099,0.1584,26.21
3MMQjms7tR8S6AcKA6DES47gzvTXxVFZn16GWhqjit8tNbkJh8c4EzNh6G5nhdMVzK33Wm74wNpl4A,SILVER,low,0,96,-26,2.46,2,4,0.5104,-0.0389,1.928,30.22,4,34,0.208,0.646,MIDDLE,0.188,292,0.1439,0.4167,0.2188,0.403,0.2288,0.844,11.26,0.1354,0.0521,31.04
3ToQhFEqobZuD807RKoqyOuuuwRAf0mfsTFcSEM_m1vYiQ27_76tFm_qfEe5LFdsbbZDuupCZODhhg,GRANDMASTER,high,0,203,165,4.95,11,0,0.5271,0.1751,3.579,30.34,5,14,0.695,0.862,MIDDLE,0.3,362,0.0924,0.133,0.0591,0.4215,0.2236,0.458,8.286,0.0493,0.0394,30.24
3W2AXCtiI7_A0446KNlnEBQukxMYuH1BgdL5xS91FHO3dRVnAiVeNQOho7_p3WpVo4CR09fz23mN4Q,PLATINUM,mid,0,59,59,5.36,3,11,0.5254,0.0,2.645,30.51,5,14,0.271,0.729,BOTTOM,0.085,40,0.114,0.3051,0.1695,0.4847,0.2408,1.661,12.186,0.1695,0.1017,30.99
3XY6YzQvfERk4Buu9bss-yQaKZoZmH9yCPvHZIGTOhmojuE5gSavhEaUwzXgPkeORcmT1itUmMdh6g,DIAMOND,high,0,60,-42,3.16,-2,1,0.4833,-0.3072,2.827,29.54,6,18,0.167,0.983,TOP,0.0,145,0.0937,0.2,0.1,0.334,0.2148,0.45,6.7,0.1167,0.15,30.23
3dajutq7FMLhKA5GN9L76HFFdztkXLioROmbanPkdHhOMXY4Y1uyX2TeuYGWNIBC09LU_arIX3aI_g,BRONZE,low,0,144,-132,3.0,-10,48,0.4653,-0.1377,3.41,31.61,7,40,0.424,0.576,BOTTOM,0.167,231,0.1177,0.2639,0.1042,0.483,0.248,1.785,22.882,0.1389,0.1667,31.76
3q4YbQ74jJa4PmwFBbHkBAST2-IdS12nK0Hz_xEWC3jjZqZb_GRugmpN65PUhuQELARs1XRNHTa0lA,GRANDMASTER,high,0,209,209,6.33,15,3,0.5359,0.0,3.904,27.35,5,9,0.895,0.919,UTILITY,0.163,357,0.0768,0.244,0.0909,0.5613,0.082,0.043,12.813,0.0574,0.0909,27.33
3tUvguoo7WSZA1EOrgx2xdBqcoLoYuVz87jM5bytYX1GGpL0RMqOS150OiIHIreQCpiIQVlrHe7t9Q,CHALLENGER,high,0,297,257,4.71,21,1,0.5354,-0.1229,4.502,27.49,6,37,0.162,0.734,BOTTOM,0.0,1191,0.0787,0.1347,0.0572,0.5068,0.2239,0.721,15.121,0.1044,0.1751,26.69
3ue3Sjj_hhnWoyywCIKFGNbCm1ur4MVPG7bVPLKjuyDAwX_T9NSUtHs6AX5d0vWFzBXwqDOi65nXAw,DIAMOND,high,0,216,208,5.27,6,1,0.5139,0.0142,3.347,28.33,10,34,0.491,0.875,JUNGLE,0.042,1267,0.106,0.2315,0.1204,0.4773,0.1911,1.079,10.833,0.0556,0.0602,28.63
40F3e6qz-9J1h0-SO_4MbtoJkTHCexj66JHnmwh85WmqAJUxR7NUUPvzUqjEU0kCLYbtaD3rc-e9Vg,BRONZE,low,0,107,-3,2.18,-15,8,0.4299,0.0241,2.149,32.44,7,62,0.056,0.336,MIDDLE,0.0,382,0.1407,0.3738,0.2804,0.4054,0.2363,0.785,5.916,0.1028,0.1776,31.99
