player_id,champion,games,wins,win_rate
PLAYER-0005,Pyke,1,1,1.0
PLAYER-0005,Rengar,21,9,0.429
PLAYER-0005,Trundle,1,0,0.0
PLAYER-0005,Twitch,22,10,0.455
PLAYER-0005,Yorick,1,0,0.0
PLAYER-0006,Kaisa,3,2,0.667
PLAYER-0006,Nami,13,6,0.462
PLAYER-0006,Xayah,14,7,0.5
PLAYER-0007,Ahri,4,3,0.75
PLAYER-0007,Akali,1,0,0.0
PLAYER-0007,Aurora,1,0,0.0
PLAYER-0007,Blitzcrank,1,0,0.0
PLAYER-0007,Braum,1,0,0.0
PLAYER-0007,Caitlyn,2,1,0.5
PLAYER-0007,Corki,4,1,0.25
PLAYER-0007,Diana,11,9,0.818
PLAYER-0007,Ekko,3,2,0.667
PLAYER-0007,Ezreal,1,0,0.0
PLAYER-0007,Fizz,7,4,0.571
PLAYER-0007,Galio,1,0,0.0
PLAYER-0007,Jinx,1,0,0.0
PLAYER-0007,Katarina,2,2,1.0
PLAYER-0007,Leblanc,11,7,0.636
PLAYER-0007,Lissandra,4,1,0.25
PLAYER-0007,Lucian,1,1,1.0
PLAYER-0007,Mel,13,5,0.385
PLAYER-0007,MissFortune,2,1,0.5
PLAYER-0007,Mordekaiser,4,3,0.75
PLAYER-0007,Pantheon,1,1,1.0
PLAYER-0007,Sylas,3,1,0.333
PLAYER-0007,Syndra,4,0,0.0
PLAYER-0007,TahmKench,1,0,0.0
PLAYER-0007,Vex,16,8,0.5
PLAYER-0007,Viktor,1,0,0.0
PLAYER-0007,Volibear,1,0,0.0
PLAYER-0007,Xerath,20,11,0.55
PLAYER-0007,Zed,1,1,1.0
PLAYER-0007,Ziggs,1,0,0.0
PLAYER-0008,Caitlyn,10,4,0.4
PLAYER-0008,Corki,3,1,0.333
PLAYER-0008,DrMundo,1,1,1.0
PLAYER-0008,Draven,41,26,0.634
PLAYER-0008,Jhin,1,0,0.0
PLAYER-0008,MissFortune,3,0,0.0
PLAYER-0008,Sivir,1,0,0.0
PLAYER-0008,TahmKench,6,3,0.5
PLAYER-0008,Veigar,1,1,1.0
PLAYER-0009,Darius,1,1,1.0
PLAYER-0009,Ekko,6,2,0.333
PLAYER-0009,Garen,1,0,0.0
PLAYER-0009,Irelia,1,1,1.0
PLAYER-0009,Jax,2,1,0.5
PLAYER-0009,KSante,1,1,1.0
PLAYER-0009,Kayn,4,0,0.0
PLAYER-0009,Khazix,2,1,0.5
PLAYER-0009,LeeSin,1,0,0.0
PLAYER-0009,MasterYi,1,0,0.0
PLAYER-0009,Olaf,1,1,1.0
PLAYER-0009,Rakan,2,1,0.5
PLAYER-0009,Renekton,1,1,1.0
PLAYER-0009,Shaco,1,0,0.0
PLAYER-0009,Swain,1,1,1.0
PLAYER-0009,TahmKench,2,1,0.5
PLAYER-0009,Talon,15,9,0.6
PLAYER-0009,Tryndamere,4,3,0.75
PLAYER-0009,Twitch,1,0,0.0
PLAYER-0009,Urgot,1,1,1.0
PLAYER-0009,Vladimir,1,0,0.0
PLAYER-0009,Yorick,3,2,0.667
PLAYER-0009,Zaahen,1,0,0.0
PLAYER-0009,Zed,1,0,0.0
PLAYER-0010,Braum,7,4,0.571
PLAYER-0010,Chogath,4,1,0.25
PLAYER-0010,Galio,1,0,0.0
PLAYER-0010,Lux,1,1,1.0
PLAYER-0010,Mordekaiser,4,2,0.5
PLAYER-0010,Nautilus,4,2,0.5
PLAYER-0010,Veigar,27,20,0.741
PLAYER-0011,Ahri,5,4,0.8
PLAYER-0011,Ezreal,1,1,1.0
PLAYER-0011,Ivern,1,0,0.0
PLAYER-0011,Malzahar,63,29,0.46
PLAYER-0011,Morgana,1,0,0.0
PLAYER-0011,Nautilus,1,0,0.0
PLAYER-0011,Teemo,1,0,0.0
PLAYER-0011,Xerath,36,21,0.583
PLAYER-0012,Aatrox,7,2,0.286
PLAYER-0012,Ahri,3,1,0.333
PLAYER-0012,Ashe,1,1,1.0
PLAYER-0012,Blitzcrank,4,2,0.5
PLAYER-0012,Brand,2,0,0.0
PLAYER-0012,Braum,1,0,0.0
PLAYER-0012,Caitlyn,2,0,0.0
PLAYER-0012,Chogath,1,0,0.0
PLAYER-0012,Darius,8,2,0.25
PLAYER-0012,Diana,2,1,0.5
PLAYER-0012,DrMundo,1,0,0.0
PLAYER-0012,Ekko,2,1,0.5
PLAYER-0012,Ezreal,1,0,0.0
PLAYER-0012,Fizz,1,0,0.0
PLAYER-0012,Galio,1,1,1.0
PLAYER-0012,Garen,7,5,0.714
PLAYER-0012,Gnar,3,3,1.0
PLAYER-0012,Gragas,1,1,1.0
PLAYER-0012,Gwen,3,1,0.333
PLAYER-0012,Illaoi,1,1,1.0
PLAYER-0012,Jax,3,1,0.333
PLAYER-0012,Jayce,1,1,1.0
PLAYER-0012,Jhin,4,1,0.25
PLAYER-0012,KSante,2,1,0.5
PLAYER-0012,Karma,3,2,0.667
PLAYER-0012,Kayn,2,1,0.5
PLAYER-0012,Khazix,21,12,0.571
PLAYER-0012,Lillia,1,1,1.0
PLAYER-0012,Lulu,1,0,0.0
PLAYER-0012,Lux,1,0,0.0
PLAYER-0012,Malphite,3,1,0.333
PLAYER-0012,MonkeyKing,4,2,0.5
PLAYER-0012,Mordekaiser,11,6,0.545
PLAYER-0012,Morgana,1,0,0.0
PLAYER-0012,Nasus,3,2,0.667
PLAYER-0012,Nautilus,2,1,0.5
PLAYER-0012,Orianna,1,0,0.0
PLAYER-0012,Ornn,1,1,1.0
PLAYER-0012,Pantheon,1,0,0.0
PLAYER-0012,Poppy,2,1,0.5
PLAYER-0012,Pyke,1,1,1.0
PLAYER-0012,Rakan,1,1,1.0
PLAYER-0012,Renekton,1,1,1.0
PLAYER-0012,Sejuani,2,1,0.5
PLAYER-0012,Sett,3,3,1.0
PLAYER-0012,Sivir,1,1,1.0
PLAYER-0012,Smolder,1,0,0.0
PLAYER-0012,Sylas,5,3,0.6
PLAYER-0012,Urgot,4,3,0.75
PLAYER-0012,Vayne,1,0,0.0
PLAYER-0012,Vex,2,0,0.0
PLAYER-0012,Vi,4,1,0.25
PLAYER-0012,Volibear,3,0,0.0
PLAYER-0012,Xayah,1,0,0.0
PLAYER-0012,Yone,1,0,0.0
PLAYER-0012,Zaahen,2,0,0.0
PLAYER-0013,Caitlyn,36,21,0.583
PLAYER-0013,Darius,1,1,1.0
PLAYER-0013,DrMundo,2,1,0.5
PLAYER-0013,Draven,1,1,1.0
PLAYER-0013,Gangplank,10,5,0.5
PLAYER-0013,Garen,1,1,1.0
PLAYER-0013,Gragas,3,1,0.333
PLAYER-0013,Jax,3,2,0.667
PLAYER-0013,Jayce,2,0,0.0
PLAYER-0013,Jhin,2,1,0.5
PLAYER-0013,Jinx,3,2,0.667
PLAYER-0013,Malphite,6,3,0.5
PLAYER-0013,Mordekaiser,3,1,0.333
PLAYER-0013,Olaf,1,0,0.0
PLAYER-0013,Shen,1,0,0.0
PLAYER-0013,Smolder,6,2,0.333
PLAYER-0013,TahmKench,1,0,0.0
PLAYER-0013,Twitch,1,0,0.0
PLAYER-0013,Vladimir,107,52,0.486
PLAYER-0013,Yunara,1,0,0.0
PLAYER-0013,Zaahen,2,0,0.0
PLAYER-0013,Zed,1,0,0.0
PLAYER-0014,Camille,1,0,0.0
PLAYER-0014,Gangplank,6,3,0.5
PLAYER-0014,Graves,1,0,0.0
PLAYER-0014,Gwen,1,1,1.0
PLAYER-0014,Jayce,1,0,0.0
PLAYER-0014,Kayle,8,6,0.75
PLAYER-0014,Mel,1,0,0.0
PLAYER-0014,Ryze,2,0,0.0
PLAYER-0014,Sion,1,0,0.0
PLAYER-0014,Smolder,8,4,0.5
PLAYER-0014,Teemo,3,1,0.333
PLAYER-0014,Varus,2,1,0.5
PLAYER-0014,Vladimir,3,1,0.333
PLAYER-0014,Yone,1,0,0.0
PLAYER-0014,Zaahen,1,0,0.0
PLAYER-0015,Aatrox,10,4,0.4
PLAYER-0015,Darius,39,18,0.462
PLAYER-0015,Ekko,11,7,0.636
PLAYER-0015,Illaoi,1,0,0.0
PLAYER-0015,Jax,5,3,0.6
PLAYER-0015,Jhin,11,5,0.455
PLAYER-0015,Kayn,15,6,0.4
PLAYER-0015,Khazix,1,1,1.0
PLAYER-0015,Malphite,1,1,1.0
PLAYER-0015,Mordekaiser,7,2,0.286
PLAYER-0015,Nautilus,2,1,0.5
PLAYER-0015,Ornn,21,12,0.571
PLAYER-0015,Pantheon,1,0,0.0
PLAYER-0015,Pyke,9,5,0.556
PLAYER-0015,Shyvana,1,0,0.0
PLAYER-0015,Sion,3,1,0.333
PLAYER-0015,Swain,18,9,0.5
PLAYER-0015,TahmKench,1,1,1.0
PLAYER-0015,Thresh,2,1,0.5
PLAYER-0015,Velkoz,1,0,0.0
PLAYER-0015,Viego,27,16,0.593
PLAYER-0015,Volibear,3,1,0.333
PLAYER-0015,Warwick,1,0,0.0
PLAYER-0015,Xerath,1,1,1.0
PLAYER-0015,Yone,1,0,0.0
PLAYER-0015,Yorick,1,0,0.0
PLAYER-0016,Amumu,6,4,0.667
PLAYER-0016,Brand,2,0,0.0
PLAYER-0016,Diana,1,0,0.0
PLAYER-0016,DrMundo,1,0,0.0
PLAYER-0016,Fizz,1,1,1.0
PLAYER-0016,Garen,1,0,0.0
